Count of income,Column Labels,,,
Row Labels,Female,Male,(blank),Grand Total
Barking and Dagenham,638,1217,,1855
Camden,1436,2976,,4412
Clapham,483,774,,1257
Croydon,561,1177,,1738
Ealing,543,822,,1365
Greenwich,267,433,,700
Hackney,599,962,,1561
Harrow,404,632,,1036
Hounslow,302,503,,805
Islington,420,820,,1240
Kensington and Chelsea,2379,5946,,8325
Lambeth,277,458,,735
Lewisham,324,559,,883
Merton,156,281,,437
Newham,186,321,,507
Redbridge,359,516,,875
Richmond-upon-Thames,900,1992,,2892
Sutton,312,424,,736
United Kingdom,,,,
Waltham Forest,355,583,,938
Westminster,349,1288,,1637
(blank),4942,9966,,14908
Grand Total,16192,32650,,48842
